Variable,PC1,PC2,PC3
LapTime,-0.0014214561848004067,0.30125267019601387,0.16321635393772926
SpeedI1,0.15881082512062458,-0.18176920432577165,-0.1722527834462906
SpeedI2,0.20034521861007495,-0.14753293139538065,-0.10073700253337368
SpeedFL,0.045984916099764815,0.06071318579817638,-0.17977617476848726
SpeedST,0.12482219733784818,0.22298923872534726,-0.09375536324043802
TyreLife,-0.19917402100792497,-0.14930988777941384,-0.0105793838746163
avg_num_of_brake_events,-0.2655129332792698,0.2212669381801066,0.13359799263968428
avg_throttle_usage,0.34807477543454035,0.08911873728774101,0.014214354587756042
track_length,0.2183933875044469,0.27270438434451233,0.06224680214866281
max_straight_length,0.03574290998417033,0.32188352257201436,-0.2120401539267297
total_straight_distance,0.09015468276745722,0.37467547714395905,0.03228270370454276
avg_elevation,-0.07132797401758452,-0.008633260081089965,-0.4564496817185702
elevation_variability,0.005500621989452004,-0.01944665294689001,-0.022427533055227943
avg_turns,-0.0834738943792341,0.12331823212703717,0.32217315420185805
avg_rpm,0.35033310041069543,0.027722513648037142,0.006721666313416731
rpm_variability,-0.3087810470579892,0.14763047364321166,-0.07983484814895482
avg_gear_change_frequency,-0.09858968904610578,0.3123699538424654,0.2398183466124097
gear1_ratio,-0.22059621441522084,-0.11216812203052554,-0.0274367455212279
gear2_ratio,-0.29569372883736234,-0.017780397632025918,-0.09357173941522824
gear3_ratio,-0.23650920950722318,0.14650756464280257,-0.021232268730654265
gear4_ratio,-0.09144031440262473,-0.24498650283500023,0.24033835701421202
gear5_ratio,0.14752926762419233,-0.23953528052815734,-0.08399260382757205
gear6_ratio,0.22053563840728876,-0.18378902064425082,0.2381494775753795
gear7_ratio,0.21222089100623806,-0.06533026613618918,0.20791687293718114
gear8_ratio,0.19788707611084155,0.24952740828270137,-0.2369203927081323
Humidity,-0.16706873369848446,-0.12482138701127729,0.06421689003570466
Pressure,0.075691177438051,-0.005524412477894946,0.46134473735903503
